ProductKey,ProductAlternateKey,ProductSubcategoryKey,EnglishProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status,SizeClothes,SizeParts
1,AR-5381,,Adjustable Race,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
2,BA-8327,,Bearing Ball,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
3,BE-2349,,BB Ball Bearing,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
4,BE-2908,,Headset Ball Bearings,,FALSE,,800,600,,,0,,,,,,,2003/01/07,,Current,,
5,BL-2036,,Blade,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
6,CA-5965,,LL Crankarm,,FALSE,Black,500,375,,,0,,,L ,,,,2003/01/07,,Current,,
7,CA-6738,,ML Crankarm,,FALSE,Black,500,375,,,0,,,M ,,,,2003/01/07,,Current,,
8,CA-7457,,HL Crankarm,,FALSE,Black,500,375,,,0,,,,,,,2003/01/07,,Current,,
9,CB-2903,,Chainring Bolts,,FALSE,Silver,1000,750,,,0,,,,,,,2003/01/07,,Current,,
10,CN-6137,,Chainring Nut,,FALSE,Silver,1000,750,,,0,,,,,,,2003/01/07,,Current,,
11,CR-7833,,Chainring,,FALSE,Black,1000,750,,,0,,,,,,,2003/01/07,,Current,,
12,CR-9981,,Crown Race,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
13,CS-2812,,Chain Stays,,FALSE,,1000,750,,,1,,,,,,,2003/01/07,,Current,,
14,DC-8732,,Decal 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
15,DC-9824,,Decal 2,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
16,DT-2377,,Down Tube,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
17,EC-M092,,Mountain End Caps,,FALSE,,1000,750,,,1,,,,,,,2003/01/07,,Current,,
18,EC-R098,,Road End Caps,,FALSE,,1000,750,,,1,,,,,,,2003/01/07,,Current,,
19,EC-T209,,Touring End Caps,,FALSE,,1000,750,,,1,,,,,,,2003/01/07,,Current,,
20,FE-3760,,Fork End,,FALSE,,800,600,,,1,,,,,,,2003/01/07,,Current,,
21,FH-2981,,Freewheel,,FALSE,Silver,500,375,,,0,,,,,,,2003/01/07,,Current,,
22,FW-1000,,Flat Washer 1,,FALSE,,1000,750,,,0,,,,,,,2003/01/07,,Current,,
